experiment_id,run_type,seed,protocol,detector,calibration_policy,calibration_deployment_status,calibration_uses_target_real_records,calibration_uses_target_labels,quantifier,quantifier_status,test_table,test_generator,generator_quality,bag_id,bag_index,bag_size,contamination_mode,nominal_prevalence,true_prevalence,estimated_prevalence,prevalence_error,prevalence_absolute_error,prevalence_squared_error,source_validation_auroc,source_validation_ece,detection_auroc,detection_auprc,detection_brier,detection_ece,detection_fpr,detection_tpr,detector_threshold,calibration_reference_fpr,calibration_reference_tpr,ranking_shift,calibration_shift,threshold_fpr_shift,artifact_auroc,artifact_gate_passed,expected_positive_rate,true_positive_mass,false_positive_mass,false_positive_share,observed_positive_rate,detection_error_contribution,bag_sampling_error_contribution,quantifier_adjustment_contribution,error_decomposition_sum,error_decomposition_residual,clean_utility,contaminated_utility,detector_cleanup_utility,oracle_cleanup_utility,contaminated_utility_delta,detector_cleanup_delta,oracle_cleanup_delta,cleanup_precision,cleanup_recall,governance_prevalence_threshold,true_prevalence_decision_remediate,estimated_decision_remediate,prevalence_decision_error,best_available_decision_remediate,decision_error,policy_utility,decision_regret,oracle_cleanup_gap,detectability_harm_quadrant
governance-calibration-probe-v1,pilot,2026,P3,char3gram,source_only,deployable_without_target_data,False,False,pcc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-source_only-credit-CTGAN-replace-0.000-1,1,1000,replace,0.0,0.0,0.9669442018747179,0.9669442018747179,0.9669442018747179,0.9349810895391352,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,1.0,1.0,0.7721722246291797,0.04995159728944821,0.6559535333978703,-0.2790900612206848,0.44792113643432024,0.9500484027105518,0.5414813645543894,True,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.03305579812528214,0.9669442018747179,0.0,,,,,,,,0.0,1.0,0.1,False,True,1,False,,,,,harm_not_evaluated
governance-calibration-probe-v1,pilot,2026,P3,char3gram,source_only,deployable_without_target_data,False,False,pacc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-source_only-credit-CTGAN-replace-0.000-1,1,1000,replace,0.0,0.0,1.0,1.0,1.0,1.0,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,1.0,1.0,0.7721722246291797,0.04995159728944821,0.6559535333978703,-0.2790900612206848,0.44792113643432024,0.9500484027105518,0.5414813645543894,True,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,1.0,0.1,False,True,1,False,,,,,harm_not_evaluated
governance-calibration-probe-v1,pilot,2026,P3,char3gram,target_real_anchor,deployable_with_clean_target_threshold_anchor,True,False,cc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-target_real_anchor-credit-CTGAN-replace-0.000-1,1,1000,replace,0.0,0.0,0.042,0.042,0.042,0.0017640000000000002,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,0.052361396303901436,0.07802874743326489,0.9787261180411946,0.05,,-0.2790900612206848,0.44792113643432024,0.0023613963039014335,0.5414813645543894,True,0.052361396303901436,0.0,0.052361396303901436,1.0,0.042,0.052361396303901436,-0.010361396303901434,0.0,0.042,0.0,,,,,,,,0.0,1.0,0.1,False,False,0,False,,,,,harm_not_evaluated
governance-calibration-probe-v1,pilot,2026,P3,char3gram,target_real_anchor,deployable_with_clean_target_threshold_anchor,True,False,pcc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-target_real_anchor-credit-CTGAN-replace-0.000-1,1,1000,replace,0.0,0.0,0.9669442018747179,0.9669442018747179,0.9669442018747179,0.9349810895391352,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,0.052361396303901436,0.07802874743326489,0.9787261180411946,0.05,,-0.2790900612206848,0.44792113643432024,0.0023613963039014335,0.5414813645543894,True,0.052361396303901436,0.0,0.052361396303901436,1.0,0.042,0.052361396303901436,-0.010361396303901434,0.9249442018747178,0.9669442018747179,0.0,,,,,,,,0.0,1.0,0.1,False,True,1,False,,,,,harm_not_evaluated
governance-calibration-probe-v1,pilot,2026,P3,char3gram,target_real_anchor,deployable_with_clean_target_threshold_anchor,True,False,pacc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-target_real_anchor-credit-CTGAN-replace-0.000-1,1,1000,replace,0.0,0.0,1.0,1.0,1.0,1.0,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,0.052361396303901436,0.07802874743326489,0.9787261180411946,0.05,,-0.2790900612206848,0.44792113643432024,0.0023613963039014335,0.5414813645543894,True,0.052361396303901436,0.0,0.052361396303901436,1.0,0.042,0.052361396303901436,-0.010361396303901434,0.958,1.0,0.0,,,,,,,,0.0,1.0,0.1,False,True,1,False,,,,,harm_not_evaluated
governance-calibration-probe-v1,pilot,2026,P3,char3gram,oracle_target,diagnostic_oracle_not_deployable,True,True,cc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-oracle_target-credit-CTGAN-replace-0.000-1,1,1000,replace,0.0,0.0,0.043,0.043,0.043,0.0018489999999999997,0.9006605447155767,0.3808122079918312,0.6215704834948919,0.5878491815503728,0.2393989402437161,0.03210316274891588,0.052874743326488706,0.08008213552361396,0.5815656363906166,0.04996577686516085,0.07700205338809035,-0.2790900612206848,-0.3487090452429153,0.002908966461327857,0.5414813645543894,True,0.052874743326488706,0.0,0.052874743326488706,1.0,0.043,0.052874743326488706,-0.00987474332648871,0.0,0.043,0.0,,,,,,,,0.0,1.0,0.1,False,False,0,False,,,,,harm_not_evaluated
governance-calibration-probe-v1,pilot,2026,P3,char3gram,oracle_target,diagnostic_oracle_not_deployable,True,True,pcc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-oracle_target-credit-CTGAN-replace-0.000-1,1,1000,replace,0.0,0.0,0.48228696058036874,0.48228696058036874,0.48228696058036874,0.23260071234585014,0.9006605447155767,0.3808122079918312,0.6215704834948919,0.5878491815503728,0.2393989402437161,0.03210316274891588,0.052874743326488706,0.08008213552361396,0.5815656363906166,0.04996577686516085,0.07700205338809035,-0.2790900612206848,-0.3487090452429153,0.002908966461327857,0.5414813645543894,True,0.052874743326488706,0.0,0.052874743326488706,1.0,0.043,0.052874743326488706,-0.00987474332648871,0.43928696058036876,0.48228696058036874,0.0,,,,,,,,0.0,1.0,0.1,False,True,1,False,,,,,harm_not_evaluated
governance-calibration-probe-v1,pilot,2026,P3,char3gram,oracle_target,diagnostic_oracle_not_deployable,True,True,pacc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-oracle_target-credit-CTGAN-replace-0.000-1,1,1000,replace,0.0,0.0,0.0,0.0,0.0,0.0,0.9006605447155767,0.3808122079918312,0.6215704834948919,0.5878491815503728,0.2393989402437161,0.03210316274891588,0.052874743326488706,0.08008213552361396,0.5815656363906166,0.04996577686516085,0.07700205338809035,-0.2790900612206848,-0.3487090452429153,0.002908966461327857,0.5414813645543894,True,0.052874743326488706,0.0,0.052874743326488706,1.0,0.043,0.052874743326488706,-0.00987474332648871,-0.043,0.0,0.0,,,,,,,,0.0,1.0,0.1,False,False,0,False,,,,,harm_not_evaluated
governance-calibration-probe-v1,pilot,2026,P3,char3gram,source_only,deployable_without_target_data,False,False,cc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-source_only-credit-CTGAN-replace-0.050-0,0,1000,replace,0.05,0.05,1.0,0.95,0.95,0.9025,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,1.0,1.0,0.7721722246291797,0.04995159728944821,0.6559535333978703,-0.2790900612206848,0.44792113643432024,0.9500484027105518,0.5414813645543894,True,1.0,0.05,0.95,0.95,1.0,0.95,0.0,0.0,0.95,0.0,0.7026441499024423,0.7002609014181375,,0.6994998766511921,-0.002383248484304823,,-0.003144273251250218,0.05,1.0,0.1,False,True,1,False,1.0,,,,low_detectability__low_harm
governance-calibration-probe-v1,pilot,2026,P3,char3gram,source_only,deployable_without_target_data,False,False,pcc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-source_only-credit-CTGAN-replace-0.050-0,0,1000,replace,0.05,0.05,0.9674395292035189,0.9174395292035189,0.9174395292035189,0.8416952897451744,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,1.0,1.0,0.7721722246291797,0.04995159728944821,0.6559535333978703,-0.2790900612206848,0.44792113643432024,0.9500484027105518,0.5414813645543894,True,1.0,0.05,0.95,0.95,1.0,0.95,0.0,-0.032560470796481056,0.9174395292035189,0.0,0.7026441499024423,0.7002609014181375,,0.6994998766511921,-0.002383248484304823,,-0.003144273251250218,0.05,1.0,0.1,False,True,1,False,1.0,,,,low_detectability__low_harm
governance-calibration-probe-v1,pilot,2026,P3,char3gram,source_only,deployable_without_target_data,False,False,pacc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-source_only-credit-CTGAN-replace-0.050-0,0,1000,replace,0.05,0.05,1.0,0.95,0.95,0.9025,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,1.0,1.0,0.7721722246291797,0.04995159728944821,0.6559535333978703,-0.2790900612206848,0.44792113643432024,0.9500484027105518,0.5414813645543894,True,1.0,0.05,0.95,0.95,1.0,0.95,0.0,0.0,0.95,0.0,0.7026441499024423,0.7002609014181375,,0.6994998766511921,-0.002383248484304823,,-0.003144273251250218,0.05,1.0,0.1,False,True,1,False,1.0,,,,low_detectability__low_harm
governance-calibration-probe-v1,pilot,2026,P3,char3gram,target_real_anchor,deployable_with_clean_target_threshold_anchor,True,False,cc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-target_real_anchor-credit-CTGAN-replace-0.050-0,0,1000,replace,0.05,0.05,0.05,0.0,0.0,0.0,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,0.052361396303901436,0.07802874743326489,0.9787261180411946,0.05,,-0.2790900612206848,0.44792113643432024,0.0023613963039014335,0.5414813645543894,True,0.05364476386036961,0.0039014373716632447,0.049743326488706364,0.9272727272727272,0.05,0.003644763860369604,-0.003644763860369604,0.0,0.0,0.0,0.7026441499024423,0.7002609014181375,0.7055043471110214,0.6994998766511921,-0.002383248484304823,0.002860197208579107,-0.003144273251250218,0.1,0.1,0.1,False,False,0,True,1.0,0.7002609014181375,0.00524344569288393,-0.006004470459829325,low_detectability__low_harm
