protocol,detector,calibration_policy,quantifier,contamination_mode,true_prevalence,metric,n_seeds,mean,std,ci95_low,ci95_high
P3,datum_transformer,target_real_anchor,pacc,replace,0.05,false_positive_share,5,0.9648979261675479,0.031239984047457613,0.9261083626713599,1.003687489663736
P3,datum_transformer,target_real_anchor,pacc,replace,0.05,prevalence_decision_error,5,1.0,0.0,1.0,1.0
P3,datum_transformer,target_real_anchor,pacc,replace,0.05,decision_regret,5,0.0011610088714404721,0.0006019361656781153,0.00041360640530114015,0.001908411337579804
P3,datum_transformer,target_real_anchor,pacc,replace,0.1,prevalence_absolute_error,5,0.9,0.0,0.9,0.9
P3,datum_transformer,target_real_anchor,pacc,replace,0.1,prevalence_error,5,0.9,0.0,0.9,0.9
P3,datum_transformer,target_real_anchor,pacc,replace,0.1,false_positive_share,5,0.9302945103875547,0.06051667442298867,0.8551531344655111,1.0054358863095982
P3,datum_transformer,target_real_anchor,pacc,replace,0.1,prevalence_decision_error,5,0.0,0.0,0.0,0.0
P3,datum_transformer,target_real_anchor,pacc,replace,0.1,decision_regret,5,0.0018369255142265922,0.000569480150206131,0.0011298225140239674,0.002544028514429217
P3,datum_transformer,target_real_anchor,pcc,replace,0.05,prevalence_absolute_error,5,0.9142646656410027,0.010176618307946039,0.9016287250645648,0.9269006062174406
P3,datum_transformer,target_real_anchor,pcc,replace,0.05,prevalence_error,5,0.9142646656410027,0.010176618307946039,0.9016287250645648,0.9269006062174406
P3,datum_transformer,target_real_anchor,pcc,replace,0.05,false_positive_share,5,0.9648979261675479,0.031239984047457613,0.9261083626713599,1.003687489663736
P3,datum_transformer,target_real_anchor,pcc,replace,0.05,prevalence_decision_error,5,1.0,0.0,1.0,1.0
P3,datum_transformer,target_real_anchor,pcc,replace,0.05,decision_regret,5,0.0011610088714404721,0.0006019361656781153,0.00041360640530114015,0.001908411337579804
P3,datum_transformer,target_real_anchor,pcc,replace,0.1,prevalence_absolute_error,5,0.8643185622475998,0.010123877648300994,0.8517481078494847,0.876889016645715
