protocol,detector,calibration_policy,contamination_mode,true_prevalence,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,c2st_lr,source_only,append,0.0,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,source_only,append,0.0,contaminated_utility_delta,5,0.0019617881469842858,0.0024091826388047497,-0.0010296072007171145,0.004953183494685686
P1,c2st_lr,source_only,append,0.0,detector_cleanup_delta,5,0.0017741802915056983,0.003076736545135496,-0.002046092708546877,0.005594453291558273
P1,c2st_lr,source_only,append,0.0,decision_regret,5,0.00025980652770050245,0.0003092987553350372,-0.00012423860148824765,0.0006438516568892526
P1,c2st_lr,source_only,append,0.050332383665717,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,source_only,append,0.050332383665717,contaminated_utility_delta,5,0.001549434554059192,0.0013407134102027007,-0.00011528101929849668,0.0032141501274168807
P1,c2st_lr,source_only,append,0.050332383665717,detector_cleanup_delta,5,0.0016464280181125134,0.0014795778065739926,-0.0001907104768517061,0.0034835665130767326
P1,c2st_lr,source_only,append,0.050332383665717,decision_regret,5,0.0004285000804799863,0.000411028780118047,-8.185955801820374e-05,0.0009388597189781763
P1,c2st_lr,source_only,append,0.0999099909990999,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,source_only,append,0.0999099909990999,contaminated_utility_delta,5,0.00045941775493377364,0.0018992490628323947,-0.0018988114300074492,0.0028176469398749964
P1,c2st_lr,source_only,append,0.0999099909990999,detector_cleanup_delta,5,5.787863724027869e-06,0.001590733811920697,-0.0019693690412633394,0.001980944768711395
